race_number,fav_horse_id,fav_odds,fav_finish,won,user_pnl_after,bankroll_after
3085,3,3.28,4,0,-2432.00,11432.00
3086,16,1.96,1,1,-2336.00,11336.00
3087,14,2.31,1,1,-2205.00,11205.00
3088,16,3.13,1,1,-1992.00,10992.00
3089,3,3.66,1,1,-1726.00,10726.00
3090,12,3.56,1,1,-1470.00,10470.00
3091,8,2.33,1,1,-1337.00,10337.00
3092,14,3.63,2,0,-1437.00,10437.00
3093,3,3.49,7,0,-1537.00,10537.00
3094,14,2.81,1,1,-1356.00,10356.00
3095,16,2.56,2,0,-1456.00,10456.00
3096,16,3.37,4,0,-1556.00,10556.00
3097,14,2.94,1,1,-1362.00,10362.00
3098,3,3.34,2,0,-1462.00,10462.00
3099,16,4.65,6,0,-1562.00,10562.00
3100,3,3.02,2,0,-1662.00,10662.00
3101,8,2.91,2,0,-1762.00,10762.00
3102,8,2.77,2,0,-1862.00,10862.00
3103,14,1.45,3,0,-1962.00,10962.00
3104,16,2.84,3,0,-2062.00,11062.00
3105,14,2.72,6,0,-2162.00,11162.00
3106,8,2.74,3,0,-2262.00,11262.00
3107,16,1.91,1,1,-2171.00,11171.00
3108,8,3.13,2,0,-2271.00,11271.00
3109,16,2.52,1,1,-2119.00,11119.00
3110,8,1.95,1,1,-2024.00,11024.00
3111,16,1.83,3,0,-2124.00,11124.00
3112,16,2.03,1,1,-2021.00,11021.00
3113,4,3.03,2,0,-2121.00,11121.00
3114,16,2.22,1,1,-1999.00,10999.00
3115,16,1.94,4,0,-2099.00,11099.00
3116,14,3.29,2,0,-2199.00,11199.00
3117,8,2.40,3,0,-2299.00,11299.00
3118,14,2.86,1,1,-2113.00,11113.00
3119,14,4.44,3,0,-2213.00,11213.00
3120,3,3.27,8,0,-2313.00,11313.00
3121,16,2.44,2,0,-2413.00,11413.00
3122,16,2.44,1,1,-2269.00,11269.00
3123,8,2.76,4,0,-2369.00,11369.00
3124,12,2.08,1,1,-2261.00,11261.00
3125,14,3.18,1,1,-2043.00,11043.00
3126,16,2.79,6,0,-2143.00,11143.00
3127,4,2.57,2,0,-2243.00,11243.00
3128,4,2.35,3,0,-2343.00,11343.00
3129,4,2.99,1,1,-2144.00,11144.00
3130,8,2.25,2,0,-2244.00,11244.00
3131,4,4.31,2,0,-2344.00,11344.00
3132,1,1.59,1,1,-2285.00,11285.00
3133,16,2.90,4,0,-2385.00,11385.00
3134,1,3.34,2,0,-2485.00,11485.00
3135,9,4.74,8,0,-2585.00,11585.00
3136,14,2.86,8,0,-2685.00,11685.00
3137,16,5.03,4,0,-2785.00,11785.00
3138,14,2.77,1,1,-2608.00,11608.00
3139,8,2.84,3,0,-2708.00,11708.00
3140,8,2.82,5,0,-2808.00,11808.00
3141,16,3.48,4,0,-2908.00,11908.00
3142,3,2.59,1,1,-2749.00,11749.00
3143,16,2.54,3,0,-2849.00,11849.00
3144,3,3.27,2,0,-2949.00,11949.00
3145,12,2.49,2,0,-3049.00,12049.00
3146,3,3.30,7,0,-3149.00,12149.00
3147,1,2.89,2,0,-3249.00,12249.00
3148,4,2.17,2,0,-3349.00,12349.00
3149,12,2.15,1,1,-3234.00,12234.00
3150,3,1.82,2,0,-3334.00,12334.00
3151,3,3.38,5,0,-3434.00,12434.00
3152,16,2.66,3,0,-3534.00,12534.00
3153,14,3.71,6,0,-3634.00,12634.00
3154,3,3.35,3,0,-3734.00,12734.00
3155,16,2.43,1,1,-3591.00,12591.00
3156,16,2.09,2,0,-3691.00,12691.00
3157,3,3.91,6,0,-3791.00,12791.00
3158,14,1.89,2,0,-3891.00,12891.00
3159,16,2.46,4,0,-3991.00,12991.00
3160,4,4.81,3,0,-4091.00,13091.00
3161,4,2.50,2,0,-4191.00,13191.00
3162,8,2.72,1,1,-4019.00,13019.00
3163,14,3.12,1,1,-3807.00,12807.00
3164,16,2.50,2,0,-3907.00,12907.00
3165,4,2.06,4,0,-4007.00,13007.00
3166,16,1.84,1,1,-3923.00,12923.00
3167,3,3.51,2,0,-4023.00,13023.00
3168,4,3.60,2,0,-4123.00,13123.00
3169,4,3.69,5,0,-4223.00,13223.00
3170,14,2.74,1,1,-4049.00,13049.00
3171,8,2.46,1,1,-3903.00,12903.00
3172,8,3.26,5,0,-4003.00,13003.00
3173,16,2.18,4,0,-4103.00,13103.00
3174,8,2.43,3,0,-4203.00,13203.00
3175,16,2.28,4,0,-4303.00,13303.00
3176,14,3.45,1,1,-4058.00,13058.00
3177,4,1.90,2,0,-4158.00,13158.00
3178,16,2.11,2,0,-4258.00,13258.00
3179,16,4.83,6,0,-4358.00,13358.00
3180,8,2.48,3,0,-4458.00,13458.00
3181,16,2.52,5,0,-4558.00,13558.00
3182,4,4.25,7,0,-4658.00,13658.00
3183,16,1.56,5,0,-4758.00,13758.00
3184,14,3.67,5,0,-4858.00,13858.00
3185,3,3.14,4,0,-4958.00,13958.00
3186,8,3.17,1,1,-4741.00,13741.00
3187,16,1.54,1,1,-4687.00,13687.00
3188,16,4.46,1,1,-4341.00,13341.00
3189,14,3.45,1,1,-4096.00,13096.00
3190,8,2.80,1,1,-3916.00,12916.00
3191,14,3.63,1,1,-3653.00,12653.00
3192,16,2.25,2,0,-3753.00,12753.00
3193,1,2.16,1,1,-3637.00,12637.00
3194,8,2.14,1,1,-3523.00,12523.00
3195,12,2.49,7,0,-3623.00,12623.00
3196,14,2.52,1,1,-3471.00,12471.00
3197,1,3.21,1,1,-3250.00,12250.00
3198,3,2.72,2,0,-3350.00,12350.00
3199,16,3.72,6,0,-3450.00,12450.00
3200,1,3.55,4,0,-3550.00,12550.00
3201,3,3.00,7,0,-3650.00,12650.00
3202,16,2.19,1,1,-3531.00,12531.00
3203,3,3.18,1,1,-3313.00,12313.00
3204,16,3.67,4,0,-3413.00,12413.00
3205,8,2.49,3,0,-3513.00,12513.00
3206,8,1.71,1,1,-3442.00,12442.00
3207,16,2.08,8,0,-3542.00,12542.00
3208,3,3.10,1,1,-3332.00,12332.00
3209,14,3.13,1,1,-3119.00,12119.00
3210,9,5.23,3,0,-3219.00,12219.00
3211,14,3.72,5,0,-3319.00,12319.00
3212,16,2.50,4,0,-3419.00,12419.00
3213,16,2.44,1,1,-3275.00,12275.00
3214,1,3.01,3,0,-3375.00,12375.00
3215,16,2.73,1,1,-3202.00,12202.00
